약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
니코레트로젠즈트로키쿨민트향2밀리그램(니코틴레지네이트),한국존슨앤드존슨판매(유),2밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
니코레트로젠즈트로키쿨민트향4밀리그램(니코틴레지네이트),한국존슨앤드존슨판매(유),4밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
닉신정(오르페나드린염산염)(수출용),아주약품 주식회사,25밀리그램,전문의약품,해당사항없음,N04AB02,198400314.0,운전위험,오르페나드린,근육이완제
닉신정10밀리그람(오르페나드린염산염)(수출용),아주약품 주식회사,10밀리그램,전문의약품,해당사항없음,N04AB02,198500424.0,운전위험,오르페나드린,근육이완제
다나젠에페리손서방정(에페리손염산염),대원바이오텍주식회사,75밀리그램,전문의약품,해당사항없음,M03BX09,201908699.0,운전위험,에페리손,근육이완제
다나코푸에스시럽,(주)에이프로젠바이오로직스,없음,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다나콜드정,주식회사 제뉴원사이언스,500밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다나쿨카타플라스마(플루르비프로펜),메디코스팜,112기타,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다나펜카타플라스마(플루르비프로펜),(주)오현파마코푸레이션,98기타,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다나펜카타플라스마(플루르비프로펜),(주)재우스팜,98기타,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다나펜카타플라스마(플루르비프로펜),에스피팜텍,98기타,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다림메퀴타진정,(주)다림바이오텍,5밀리그램,전문의약품,해당사항없음,,199201323.0,운전위험,메퀴타진,항히스타민제(1세대)
다림염산아미트리프틸린정10mg,(주)다림바이오텍,10밀리그램,전문의약품,해당사항없음,,200001667.0,운전위험,아미트리프틸린,삼환계항우울제
다림염산이미프라민정25mg,(주)다림바이오텍,25밀리그램,전문의약품,해당사항없음,,200009531.0,운전위험,이미프라민,삼환계항우울제
다림카르바마제핀정200mg,(주)다림바이오텍,200밀리그램,전문의약품,해당사항없음,,200001669.0,운전위험,카르바마제핀,항전간제
다림프레가발린캡슐150밀리그램,(주)다림바이오텍,150밀리그램,전문의약품,해당사항없음,N02BF02,201906206.0,운전위험,프레가발린,항전간제
다림프레가발린캡슐75밀리그램,(주)다림바이오텍,75밀리그램,전문의약품,해당사항없음,N02BF02,201906205.0,운전위험,프레가발린,항전간제
다멘드쿨정,알리코제약(주),150밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
다플리정(메토카르바몰),한국엠알비(주),250밀리그램,일반의약품,해당사항없음,M03BA03,200703317.0,운전위험,메토카르바몰,근육이완제
단자민정(디펜히드라민염산염),고려제약(주),25밀리그램,일반의약품,해당사항없음,N05CM,200808028.0,운전위험,디펜히드라민,항히스타민제(1세대)
담엔쿨정,에스케이케미칼(주),150밀리그램,일반의약품,해당사항없음,,,운전위험,감기약(복합제),감기약/진해거담제
대우메토카르바몰주(수출명:메리몰주),대우제약(주),1그램,전문의약품,해당사항없음,M03BA03,199600676.0,운전위험,메토카르바몰,근육이완제
대우메토카르바몰주10앰플,대우제약(주),1그램,전문의약품,해당사항없음,M03BA03,199600676.0,운전위험,메토카르바몰,근육이완제
대우메토카르바몰주1앰플,대우제약(주),1그램,전문의약품,해당사항없음,M03BA03,199600676.0,운전위험,메토카르바몰,근육이완제
대우바클로펜정10밀리그램,대우제약(주),10밀리그램,전문의약품,해당사항없음,M03BX01,199400569.0,운전위험,바클로펜,근육이완제
대우에페리손SR서방정75mg(에페리손염산염),대우제약(주),75밀리그램,전문의약품,해당사항없음,M03BX09,201905623.0,운전위험,에페리손,근육이완제
대우에페리손정(에페리손염산염),대우제약(주),50밀리그램,전문의약품,해당사항없음,M03BX09,199800835.0,운전위험,에페리손,근육이완제
대우에페리손정(에페리손염산염)(수출용),대우제약(주),50밀리그램,전문의약품,해당사항없음,M03BX09,202303311.0,운전위험,에페리손,근육이완제
대우할로페리돌정1.5mg,대우제약(주),1.5밀리그램,전문의약품,해당사항없음,,198800500.0,운전위험,할로페리돌,항정신병제
대웅가바펜틴정(수출용),(주)대웅제약,600밀리그램,전문의약품,해당사항없음,N02BF01,201004348.0,운전위험,가바펜틴,항전간제
대웅가바펜틴캡슐(수출용),(주)대웅제약,300밀리그램,전문의약품,해당사항없음,N02BF01,201004324.0,운전위험,가바펜틴,항전간제
대웅리스페리돈정(수출용),(주)대웅제약,2밀리그램,전문의약품,해당사항없음,N05AX08,201005077.0,운전위험,리스페리돈,항정신병제
대웅바이오에페리손서방정(에페리손염산염),대웅바이오(주),75밀리그램,전문의약품,해당사항없음,M03BX09,202001084.0,운전위험,에페리손,근육이완제
대웅바이오에페리손정(에페리손염산염),대웅바이오(주),50밀리그램,전문의약품,해당사항없음,M03BX09,200502298.0,운전위험,에페리손,근육이완제
대웅아리피프라졸정10밀리그램(아리피프라졸),(주)대웅제약,10밀리그램,전문의약품,해당사항없음,N05AX12,201103513.0,운전위험,아리피프라졸,항정신병제
대웅아리피프라졸정15밀리그램,(주)대웅제약,15밀리그램,전문의약품,해당사항없음,N05AX12,201112302.0,운전위험,아리피프라졸,항정신병제
대웅아리피프라졸정5밀리그램,(주)대웅제약,5밀리그램,전문의약품,해당사항없음,N05AX12,201112301.0,운전위험,아리피프라졸,항정신병제
대웅토피라메이트정100밀리그램,(주)대웅제약,100밀리그램,전문의약품,해당사항없음,N03AX11,200400469.0,운전위험,토피라메이트,항전간제
대웅프리미돈정,(주)대웅제약,250밀리그램,전문의약품,해당사항없음,N03AA03,198000160.0,운전위험,프리미돈,항전간제
