약품명,업체명,규격,전문일반구분,특수관리약품구분,ATC코드,품목기준코드,운전위험등급,매칭성분,약물분류
감소청캅셀,(주)한국파비스바이오텍,150밀리그램,일반의약품,향정신성의약품,,200202248.0,운전금지,향정신성의약품,향정신성의약품
건일디아제팜정2밀리그람,건일제약(주),2밀리그램,전문의약품,해당사항없음,,197900541.0,운전금지,디아제팜,항불안제
건일디아제팜정5mg,건일제약(주),5밀리그램,전문의약품,해당사항없음,,197900542.0,운전금지,디아제팜,항불안제
경동캄펙스주50밀리그램(트라마돌염산염),경동제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,198801776.0,운전금지,트라마돌,마약성진통제
경인인산코데인,(주)경인제약,1그램,,,,198501818.0,운전금지,코데인,마약성진통제
구주구연산수펜타닐주,구주제약(주),1밀리리터,전문의약품,마약,,199907272.0,운전금지,마약,마약
구주구연산펜타닐주사,구주제약(주),2밀리리터,전문의약품,마약,N01AH01,199604972.0,운전금지,마약,마약
구주구연산펜타닐주사(수출용),구주제약(주),2밀리리터,전문의약품,마약,N01AH01,202004965.0,운전금지,마약,마약
구주디아제팜주사,구주제약(주),2밀리리터,전문의약품,향정신성의약품,,200109962.0,운전금지,향정신성의약품,향정신성의약품
구주알펜타닐주(염산알펜타닐),구주제약(주),2밀리리터,전문의약품,마약,N01AH02,200009376.0,운전금지,마약,마약
구주염산날부핀주사10밀리그람,구주제약(주),10밀리그램,전문의약품,향정신성의약품,,200109960.0,운전금지,향정신성의약품,향정신성의약품
구주염산날부핀주사20밀리그람,구주제약(주),20밀리그램,전문의약품,향정신성의약품,,200109961.0,운전금지,향정신성의약품,향정신성의약품
구주염산모르핀주,구주제약(주),1밀리리터,전문의약품,마약,N02AA01,200308503.0,운전금지,마약,마약
구주염산페치딘주,구주제약(주),0.5밀리리터,전문의약품,마약,N02AB02,199604973.0,운전금지,마약,마약
구주인산코데인정,구주제약(주),20밀리그램,전문의약품,마약,R05DA04,199806858.0,운전금지,마약,마약
구주주석산수소디히드로코데인서방정,구주제약(주),60밀리그램,전문의약품,마약,,199907271.0,운전금지,마약,마약
구주펜타닐시트르산염주사(바이알),구주제약(주),2밀리리터,전문의약품,마약,N01AH01,201603163.0,운전금지,마약,마약
구주황산모르핀주사,구주제약(주),1밀리리터,전문의약품,마약,N02AA01,200512164.0,운전금지,마약,마약
구주황산모르핀주사10mg/ml(모르핀황산염수화물),구주제약(주),2밀리리터,전문의약품,마약,N02AA01,202009292.0,운전금지,마약,마약
구주황산모르핀주사15mg/ml(모르핀황산염수화물),구주제약(주),2밀리리터,전문의약품,마약,N02AA01,202009293.0,운전금지,마약,마약
국제디에칠프로피온정(염산디에칠프로피온),국제약품(주),25밀리그램,전문의약품,향정신성의약품,A08AA03,200610879.0,운전금지,향정신성의약품,향정신성의약품
국제펜터민정,국제약품(주),37.5밀리그램,전문의약품,향정신성의약품,A08AA01,200604169.0,운전금지,향정신성의약품,향정신성의약품
국제펜터민정(염산펜터민),국제약품(주),37.5밀리그램,전문의약품,향정신성의약품,A08AA01,200604169.0,운전금지,향정신성의약품,향정신성의약품
근화황산모르핀정,알보젠코리아(주),15밀리그램,,,,199203478.0,운전금지,모르핀,마약성진통제
글라지아프리필드펜(인슐린글라진유전자재조합),(주)녹십자,3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AE04,201801065.0,운전금지,인슐린,당뇨병치료제
나르코설하정100마이크로그램(펜타닐시트르산염),(주)비씨월드제약,157.1마이크로그램,전문의약품,마약,N02AB03,201707583.0,운전금지,마약,마약
나르코설하정200마이크로그램(펜타닐시트르산염),(주)비씨월드제약,314.2마이크로그램,전문의약품,마약,N02AB03,201804098.0,운전금지,마약,마약
나르코설하정300마이크로그램(펜타닐시트르산염),(주)비씨월드제약,300마이크로그램,전문의약품,마약,N02AB03,201804456.0,운전금지,마약,마약
나이트타임시럽(수출용),맥널티제약(주),120밀리리터,전문의약품,향정신성의약품,N02BE51,201207708.0,운전금지,향정신성의약품,향정신성의약품
나페존주(펜타조신),구주제약(주),없음,전문의약품,향정신성의약품,,199604974.0,운전금지,향정신성의약품,향정신성의약품
날페인주사10밀리그램(날부핀염산염),명문제약(주),1밀리리터,전문의약품,향정신성의약품,N02AF02,200109954.0,운전금지,향정신성의약품,향정신성의약품
날페인주사20밀리그람(염산날부핀)수출명:아크날주사20밀리그람,명문제약(주),1밀리리터,전문의약품,해당사항없음,,199302807.0,운전금지,날부핀,마약성진통제
날페인주사20밀리그램(날부핀염산염)(수출명:아크날주사20밀리그램)(수출용),명문제약(주),20밀리그램,전문의약품,향정신성의약품,N02AF02,200109955.0,운전금지,향정신성의약품,향정신성의약품
네오마돌주50mg(트라마돌염산염),구주제약(주),1밀리리터,전문의약품,해당사항없음,N02AX02,201607396.0,운전금지,트라마돌,마약성진통제
네오마찐정100밀리그램(클로르프로마진염산염),환인제약(주),100밀리그램,전문의약품,해당사항없음,N05AA01,199203520.0,운전금지,클로르프로마진,항정신병제
네오마찐정50밀리그람(염산클로르프로마진),환인제약(주),50밀리그램,전문의약품,해당사항없음,,196000027.0,운전금지,클로르프로마진,항정신병제
네오슈린알주(휴먼인슐린),(주)종근당,100IU,전문의약품,해당사항없음,,200000204.0,운전금지,인슐린,당뇨병치료제
넥스팜염산트라마돌주(염산트라마돌),(주)넥스팜코리아,1밀리리터,전문의약품,해당사항없음,N02AX02,200302768.0,운전금지,트라마돌,마약성진통제
넥스팜트라마돌캡슐(트라마돌염산염)(수출용),(주)넥스팜코리아,50밀리그램,전문의약품,해당사항없음,N02AX02,201901967.0,운전금지,트라마돌,마약성진통제
넬슨브롬화수소산덱스트로메토르판정,한국넬슨제약(주),15밀리그램,전문의약품,향정신성의약품,R05DA09,200308522.0,운전금지,향정신성의약품,향정신성의약품
노레팜정10밀리그람(노르다제팜),한화제약(주),10밀리그램,전문의약품,향정신성의약품,,199203472.0,운전금지,향정신성의약품,향정신성의약품
노레팜정5밀리그람(노르다제팜),한화제약(주),5밀리그램,전문의약품,향정신성의약품,,199203471.0,운전금지,향정신성의약품,향정신성의약품
노보래피드노보렛주100단위/밀리리터(인슐린아스파트),노보노디스크제약(주),3밀리리터,전문의약품,해당사항없음,A10AB05,200210109.0,운전금지,인슐린,당뇨병치료제
노보래피드주100단위/밀리리터(인슐린아스파트),노보노디스크제약(주),10밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AB05,200210110.0,운전금지,인슐린,당뇨병치료제
노보래피드펜필주100단위/밀리리터(인슐린아스파트),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AB05,200210112.0,운전금지,인슐린,당뇨병치료제
노보래피드플렉스펜주100단위/밀리리터(인슐린아스파트),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AB05,200210111.0,운전금지,인슐린,당뇨병치료제
노보렛10/90주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),,199504255.0,운전금지,인슐린,당뇨병치료제
노보렛20/80주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),,199504256.0,운전금지,인슐린,당뇨병치료제
노보렛30/70주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AD01,199504257.0,운전금지,인슐린,당뇨병치료제
노보렛40/60주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,해당사항없음,,199504258.0,운전금지,인슐린,당뇨병치료제
노보렛50/50주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,해당사항없음,,199504259.0,운전금지,인슐린,당뇨병치료제
노보렛알주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AB01,199504254.0,운전금지,인슐린,당뇨병치료제
노보렛엔주100단위/밀리리터(휴먼인슐린주사액),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AC01,199504253.0,운전금지,인슐린,당뇨병치료제
노보린30/70주100단위/밀리리터(휴먼인슐린),노보노디스크제약(주),10밀리리터,전문의약품,해당사항없음,,199504264.0,운전금지,인슐린,당뇨병치료제
노보린알주100단위(인슐린주사액휴먼인슐린),(주)녹십자,10밀리리터,전문의약품,해당사항없음,A10AB01,200302239.0,운전금지,인슐린,당뇨병치료제
노보린알주40단위(인슐린주사액휴먼인슐린),(주)녹십자,40Unit,전문의약품,해당사항없음,,198901045.0,운전금지,인슐린,당뇨병치료제
노보린엔주100단위(이소판인슐린주사액휴먼인슐린),(주)녹십자,10밀리리터,전문의약품,해당사항없음,A10AC01,200302238.0,운전금지,인슐린,당뇨병치료제
노보린엔주40단위(이소판인슐린주사액휴먼인슐린),(주)녹십자,10Unit,전문의약품,해당사항없음,,198901052.0,운전금지,인슐린,당뇨병치료제
노보믹스30플렉스펜주100단위/밀리리터(인슐린아스파트유전자재조합),노보노디스크제약(주),3밀리리터,전문의약품,생물학적제제등(생물학적제제 제외),A10AD05,200307983.0,운전금지,인슐린,당뇨병치료제
노브제정(염산펜터민),에이치엘비제약(주),37.5밀리그램,전문의약품,향정신성의약품,A08AA01,200410857.0,운전금지,향정신성의약품,향정신성의약품
노스판패취10㎍/h(부프레노르핀),한국먼디파마 유한회사,10밀리그램,전문의약품,향정신성의약품,N02AE01,200410878.0,운전금지,향정신성의약품,향정신성의약품
노스판패취20㎍/h(부프레노르핀),한국먼디파마 유한회사,20밀리그램,전문의약품,향정신성의약품,N02AE01,200410879.0,운전금지,향정신성의약품,향정신성의약품
노스판패취5㎍/h(부프레노르핀),한국먼디파마 유한회사,5밀리그램,전문의약품,향정신성의약품,N02AE01,200410877.0,운전금지,향정신성의약품,향정신성의약품
뉴덱스타캡슐,한국희귀필수의약품센터,20밀리그램,,향정신성의약품,,800002996.0,운전금지,향정신성의약품,향정신성의약품
뉴돌핀주(염산트라마돌)(수출명:트란돌주TramapenInj.),한국유나이티드제약(주),1밀리리터,전문의약품,해당사항없음,,199601505.0,운전금지,트라마돌,마약성진통제
뉴돌핀주(트라마돌염산염)(수출명:트란돌주TramapenInj.),한국유나이티드제약(주),1밀리리터,전문의약품,해당사항없음,,199601505.0,운전금지,트라마돌,마약성진통제
뉴돌핀주(트라마돌염산염)(수출명:트란돌주TramapenInj.)(수출용),한국유나이티드제약(주),없음,전문의약품,해당사항없음,N02AX02,200906302.0,운전금지,트라마돌,마약성진통제
뉴돌핀주(트라마돌염산염)(수출용),한국유나이티드제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,200906302.0,운전금지,트라마돌,마약성진통제
뉴돌핀캅셀(염산트라마돌),한국유나이티드제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,199601491.0,운전금지,트라마돌,마약성진통제
뉴돌핀캡슐(염산트라마돌)(수출용),한국유나이티드제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,199601491.0,운전금지,트라마돌,마약성진통제
뉴신타서방정100밀리그램(타펜타돌염산염),(주)한국얀센,100밀리그램,전문의약품,마약,N02AX06,201403789.0,운전금지,마약,마약
뉴신타서방정100밀리그램(타펜타돌염산염),(주)비씨월드제약,100밀리그램,전문의약품,마약,N02AX06,201603372.0,운전금지,마약,마약
뉴신타서방정150밀리그램(타펜타돌염산염),(주)한국얀센,150밀리그램,전문의약품,마약,N02AX06,201403790.0,운전금지,마약,마약
뉴신타서방정150밀리그램(타펜타돌염산염)&nbsp;,(주)한국얀센,150밀리그램,전문의약품,마약,N02AX06,201403790.0,운전금지,마약,마약
뉴신타서방정200밀리그램(타펜타돌염산염),(주)비씨월드제약,200밀리그램,전문의약품,마약,N02AX06,201708383.0,운전금지,마약,마약
뉴신타서방정200밀리그램(타펜타돌염산염),(주)한국얀센,200밀리그램,전문의약품,마약,N02AX06,201403792.0,운전금지,마약,마약
뉴신타서방정250밀리그램(타펜타돌염산염),(주)한국얀센,250밀리그램,전문의약품,마약,N02AX06,201403791.0,운전금지,마약,마약
뉴신타서방정250밀리그램(타펜타돌염산염)&nbsp;,(주)한국얀센,250밀리그램,전문의약품,마약,N02AX06,201403791.0,운전금지,마약,마약
뉴신타서방정50밀리그램(타펜타돌염산염),(주)한국얀센,50밀리그램,전문의약품,마약,N02AX06,201403788.0,운전금지,마약,마약
뉴신타서방정50밀리그램(타펜타돌염산염),(주)비씨월드제약,50밀리그램,전문의약품,마약,N02AX06,201603373.0,운전금지,마약,마약
뉴신타서방정50밀리그램(타펜타돌염산염)&nbsp;,(주)한국얀센,50밀리그램,전문의약품,마약,N02AX06,201403788.0,운전금지,마약,마약
뉴신타아이알정100밀리그램(타펜타돌염산염),(주)한국얀센,100밀리그램,전문의약품,마약,N02AX06,201403793.0,운전금지,마약,마약
뉴신타아이알정50밀리그램(타펜타돌염산염),(주)비씨월드제약,50밀리그램,전문의약품,마약,N02AX06,201707914.0,운전금지,마약,마약
뉴신타아이알정50밀리그램(타펜타돌염산염),(주)한국얀센,50밀리그램,전문의약품,마약,N02AX06,201403787.0,운전금지,마약,마약
뉴신타아이알정75밀리그램(타펜타돌염산염),(주)한국얀센,75밀리그램,전문의약품,마약,N02AX06,201403794.0,운전금지,마약,마약
뉴젠팜알프라졸람정0.25mg,(주)셀릭스,0.25밀리그램,전문의약품,향정신성의약품,,199907275.0,운전금지,향정신성의약품,향정신성의약품
뉴젠팜페노바르비탈정,(주)셀릭스,30밀리그램,전문의약품,향정신성의약품,N03AA02,199806859.0,운전금지,향정신성의약품,향정신성의약품
뉴트람서방정150밀리그램(트라마돌염산염),(주)경보제약,150밀리그램,전문의약품,해당사항없음,N02AX02,200711646.0,운전금지,트라마돌,마약성진통제
뉴폴주사(앰플)(프로포폴),건일제약(주),12밀리리터,전문의약품,해당사항없음,N01AX10,200400401.0,운전금지,프로포폴,마취제
뉴폴주사(프로포폴),건일제약(주),50밀리리터,전문의약품,해당사항없음,N01AX10,199800541.0,운전금지,프로포폴,마취제
다이트린정(펜디메트라진타르타르산염),영일제약(주),35밀리그램,전문의약품,향정신성의약품,A08AA,200512174.0,운전금지,향정신성의약품,향정신성의약품
달마돔정(플루라제팜염산염),고려제약(주),15밀리그램,전문의약품,향정신성의약품,N05CD01,199907280.0,운전금지,향정신성의약품,향정신성의약품
대우디아제팜정5mg,대우제약(주),5밀리그램,전문의약품,해당사항없음,,197900547.0,운전금지,디아제팜,항불안제
대우염산트라마돌주,대우제약(주),2밀리리터,전문의약품,해당사항없음,,200100699.0,운전금지,트라마돌,마약성진통제
대우트라마돌염산염캡슐(수출명:말직캡슐),대우제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,199900653.0,운전금지,트라마돌,마약성진통제
대우페노바르비탈정,대우제약(주),30밀리그램,,,,200009368.0,운전금지,페노바르비탈,항경련제
대웅케타민주(케타민염산염),(주)대웅제약,2밀리리터,전문의약품,향정신성의약품,N01AX03,202500061.0,운전금지,향정신성의약품,향정신성의약품
대원구연산펜타닐주사액,대원제약(주),2밀리리터,전문의약품,마약,N01AH01,199002733.0,운전금지,마약,마약
대원구연산펜타닐주사액(수출용),대원제약(주),20밀리리터,전문의약품,마약,N01AH01,201207282.0,운전금지,마약,마약
대원디아제팜정10밀리그람(수출명:데팜정10밀리그람트레즈콘정10밀리그람),대원제약(주),10밀리그램,전문의약품,향정신성의약품,,199907260.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜정10밀리그람(수출명:트렌즈콘정10밀리그람),대원제약(주),10밀리그램,전문의약품,향정신성의약품,,200109986.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜정2밀리그람(수출명:디아잠정2밀리그람트렌즈콘정2밀리그람),대원제약(주),2밀리그램,전문의약품,향정신성의약품,N05BA01,200109984.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜정2밀리그램(수출명:디아잠정2밀리그램)(수출명2:트레즈콘정2밀리그램),대원제약(주),2밀리그램,전문의약품,향정신성의약품,N05BA01,197700525.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜정5밀리그람(수출명:데팜정5밀리그람(디아제팜)트렌즈콘정5밀리그람),대원제약(주),5밀리그램,전문의약품,향정신성의약품,,200109985.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜정5밀리그램(수출명:데팜정5밀리그램(디아제팜))(수출명2:트레즈콘정5밀리그램),대원제약(주),5밀리그램,전문의약품,향정신성의약품,,197700523.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜주사액,대원제약(주),5밀리그램,전문의약품,향정신성의약품,N05BA01,200109987.0,운전금지,향정신성의약품,향정신성의약품
대원디아제팜주사액(수출명:데팜주사액(디아제팜)),대원제약(주),2밀리리터,전문의약품,향정신성의약품,N05BA01,197700526.0,운전금지,향정신성의약품,향정신성의약품
대원루미날주사200밀리그람(페노바르비탈나트륨)-수출용,대원제약(주),200밀리그램,전문의약품,향정신성의약품,N03AA02,199403287.0,운전금지,향정신성의약품,향정신성의약품
대원루미날주사액(주사용페노바르비탈나트륨)(수출명:루미돈주사액),대원제약(주),1밀리리터,전문의약품,향정신성의약품,N03AA02,197100252.0,운전금지,향정신성의약품,향정신성의약품
대원루미날주사액(주사용페노바르비탈나트륨)(수출명:루미돈주사액)(수출용),대원제약(주),100밀리그램,전문의약품,향정신성의약품,N03AA02,200410872.0,운전금지,향정신성의약품,향정신성의약품
대원모르핀황산염주사액1mg/mL(바이알),대원제약(주),5밀리리터,전문의약품,마약,N02AA01,201208284.0,운전금지,마약,마약
대원미다졸람주15밀리그람/3밀리리터,대원제약(주),3밀리리터,전문의약품,향정신성의약품,N05CD08,200512145.0,운전금지,향정신성의약품,향정신성의약품
대원미다졸람주5밀리그람/5밀리리터,대원제약(주),5밀리리터,전문의약품,향정신성의약품,N05CD08,200512144.0,운전금지,향정신성의약품,향정신성의약품
대원알프라졸람정0.25밀리그람(수출용),대원제약(주),0.25밀리그램,전문의약품,향정신성의약품,,199002731.0,운전금지,향정신성의약품,향정신성의약품
대원알프라졸람정0.5밀리그람(수출명:1.새프람정0.5밀리그람2.나작스정),대원제약(주),0.5밀리그램,전문의약품,향정신성의약품,N05BA12,200109990.0,운전금지,향정신성의약품,향정신성의약품
대원알프라졸람정0.5밀리그람(수출명:나작스정)(수출용),대원제약(주),0.5밀리그램,전문의약품,향정신성의약품,N05BA12,199002732.0,운전금지,향정신성의약품,향정신성의약품
대원염산날부핀주사액10밀리그람(수출명:나핀주사액(염산날부핀)(NaphineInj.),대원제약(주),1밀리리터,전문의약품,향정신성의약품,N02AF02,200109943.0,운전금지,향정신성의약품,향정신성의약품
대원염산날부핀주사액10밀리그람(수출명:나핀주사액(염산날부핀)),대원제약(주),10밀리그램,전문의약품,향정신성의약품,N02AF02,200109996.0,운전금지,향정신성의약품,향정신성의약품
대원염산날부핀주사액10밀리그람[수출명:나핀주사액(염산날부핀)(NaphineInj.)],대원제약(주),10밀리그램,전문의약품,향정신성의약품,,199001328.0,운전금지,향정신성의약품,향정신성의약품
대원염산모르핀주사액,대원제약(주),10밀리그램,전문의약품,마약,,199704626.0,운전금지,마약,마약
대원염산페치딘주사액,대원제약(주),1밀리리터,전문의약품,마약,N02AB02,197400559.0,운전금지,마약,마약
대원인산코데인정,대원제약(주),20밀리그램,전문의약품,마약,,197600720.0,운전금지,마약,마약
대원페노바르비탈정,대원제약(주),30밀리그램,전문의약품,향정신성의약품,N03AA02,197100251.0,운전금지,향정신성의약품,향정신성의약품
대원페노바르비탈정(수출명:바르탈정(페노바르비탈),대원제약(주),30밀리그램,전문의약품,향정신성의약품,N03AA02,197100251.0,운전금지,향정신성의약품,향정신성의약품
대원페노바르비탈정(수출용:바르탈정(페노바르비탈)),대원제약(주),30밀리그램,전문의약품,향정신성의약품,N03AA02,200109992.0,운전금지,향정신성의약품,향정신성의약품
대원페노바르비탈정100밀리그람,대원제약(주),100밀리그램,전문의약품,향정신성의약품,N03AA02,200109993.0,운전금지,향정신성의약품,향정신성의약품
대원페노바르비탈정100밀리그람(수출용),대원제약(주),100밀리그램,전문의약품,향정신성의약품,N03AA02,199403283.0,운전금지,향정신성의약품,향정신성의약품
대원페노바르비탈정25밀리그람,대원제약(주),25밀리그램,전문의약품,향정신성의약품,,200109991.0,운전금지,향정신성의약품,향정신성의약품
대원페노바르비탈정25밀리그람(수출용),대원제약(주),25밀리그램,전문의약품,향정신성의약품,,199403284.0,운전금지,향정신성의약품,향정신성의약품
대원펜타닐시트르산염주사액,대원제약(주),1밀리리터,전문의약품,마약,N01AH01,201200585.0,운전금지,마약,마약
대원펜타조신정(염산펜타조신),대원제약(주),30밀리그램,전문의약품,향정신성의약품,,197500649.0,운전금지,향정신성의약품,향정신성의약품
대원펜타조신주사액,대원제약(주),1밀리리터,전문의약품,향정신성의약품,N02AD01,197400560.0,운전금지,향정신성의약품,향정신성의약품
대원황산모르핀주사0.5mg/ml,대원제약(주),없음,전문의약품,마약,N02AA01,200702946.0,운전금지,마약,마약
대원황산모르핀주사0.5mg/ml(수출용),대원제약(주),2밀리리터,전문의약품,마약,N02AA01,201207283.0,운전금지,마약,마약
대원황산모르핀주사1mg/mL(수출용),대원제약(주),1밀리리터,전문의약품,마약,N02AA01,201207284.0,운전금지,마약,마약
대원황산모르핀주사1밀리그람/밀리리터,대원제약(주),1밀리리터,전문의약품,마약,N02AA01,200702947.0,운전금지,마약,마약
대한루미날주10%(수출용:Danotaninj.),대한약품공업(주),1밀리리터,전문의약품,향정신성의약품,N03AA02,200710723.0,운전금지,향정신성의약품,향정신성의약품
대한루미날주10%(주사용페노바르비탈나트륨)(수출용),대한약품공업(주),100밀리그램,전문의약품,향정신성의약품,N03AA02,201302663.0,운전금지,향정신성의약품,향정신성의약품
대한루미날주10%(주사용페노바르비탈나트륨)(수출용:PHENOTALInj.),대한약품공업(주),1밀리리터,전문의약품,향정신성의약품,N03AA02,197400561.0,운전금지,향정신성의약품,향정신성의약품
대한루미날주10%(주사용페노바르비탈나트륨)(수출용:PHENOTALInj.DANOTANInj.),대한약품공업(주),1밀리리터,전문의약품,향정신성의약품,N03AA02,200710723.0,운전금지,향정신성의약품,향정신성의약품
대한페노바르비탈정15밀리그람,대한약품공업(주),15밀리그램,,,,199806840.0,운전금지,페노바르비탈,항경련제
대한페노바르비탈정30mg,대한약품공업(주),30밀리그램,,,,199806841.0,운전금지,페노바르비탈,항경련제
대한펜타닐주사액,대한약품공업(주),10밀리리터,전문의약품,마약,N01AH01,200805994.0,운전금지,마약,마약
대한프로폴에이원주사(프로포폴)(수출용),대한뉴팜(주),없음,전문의약품,해당사항없음,,200203109.0,운전금지,프로포폴,마취제
대한프로폴에이주사(프로포폴)(수출용),대한뉴팜(주),없음,전문의약품,해당사항없음,N01AX10,200203108.0,운전금지,프로포폴,마취제
대한프로폴주사(프로포폴)(수출용)(수출명:LofolInjection),대한뉴팜(주),없음,전문의약품,해당사항없음,N01AX10,200203313.0,운전금지,프로포폴,마취제
대한피라비탈(원료),대한약품공업(주),없음,,향정신성의약품,N02B,198902798.0,운전금지,향정신성의약품,향정신성의약품
대화노브제정(펜터민염산염),대화제약(주),37.5밀리그램,전문의약품,향정신성의약품,A08AA01,201004413.0,운전금지,향정신성의약품,향정신성의약품
대화염산히드록시진정,대화제약(주),25밀리그램,전문의약품,해당사항없음,,198400810.0,운전금지,히드록시진,항히스타민제(1세대)
데코인정(코데인인산염수화물),성원애드콕제약(주),20밀리그램,전문의약품,마약,R05DA04,200308509.0,운전금지,마약,마약
데파스정0.25밀리그램(에티졸람),(주)종근당,0.25밀리그램,전문의약품,향정신성의약품,N05BA19,200610866.0,운전금지,향정신성의약품,향정신성의약품
데파스정0.5밀리그람(에티졸람),(주)종근당,0.5밀리그램,전문의약품,향정신성의약품,N05BA19,199002729.0,운전금지,향정신성의약품,향정신성의약품
데파스정1밀리그람(에티졸람),(주)종근당,1밀리그램,전문의약품,향정신성의약품,N05BA19,199002730.0,운전금지,향정신성의약품,향정신성의약품
덱스트로메토르판1000T,한국넬슨제약(주),15밀리그램,전문의약품,향정신성의약품,R05DA09,200308522.0,운전금지,향정신성의약품,향정신성의약품
덱스트로메토르판100T,한국넬슨제약(주),15밀리그램,전문의약품,향정신성의약품,R05DA09,200308522.0,운전금지,향정신성의약품,향정신성의약품
덱스트로메토르판30T,한국넬슨제약(주),15밀리그램,전문의약품,향정신성의약품,R05DA09,200308522.0,운전금지,향정신성의약품,향정신성의약품
덱스트로메토르판500T,한국넬슨제약(주),15밀리그램,전문의약품,향정신성의약품,R05DA09,200308522.0,운전금지,향정신성의약품,향정신성의약품
덱시판정(브롬화수소산덱스트로메토르판),한국유나이티드제약(주),15밀리그램,전문의약품,향정신성의약품,,200410839.0,운전금지,향정신성의약품,향정신성의약품
델심현탁액(오렌지맛)(148mL),한국희귀필수의약품센터,148밀리리터,,향정신성의약품,,800003036.0,운전금지,향정신성의약품,향정신성의약품
델심현탁액(포도맛)(148mL),한국희귀필수의약품센터,148밀리리터,,향정신성의약품,,800003036.0,운전금지,향정신성의약품,향정신성의약품
델심현탁액30mg/5mL(덱스트로메토르판폴리스티렉스),한국희귀필수의약품센터,148밀리리터,,향정신성의약품,,800003036.0,운전금지,향정신성의약품,향정신성의약품
도란찐드롭(염산트라마돌),삼성제약(주),없음,전문의약품,해당사항없음,,199600282.0,운전금지,트라마돌,마약성진통제
도란찐주100밀리그람(트라마돌염산염),삼성제약(주),100밀리그램,전문의약품,해당사항없음,N02AX02,198700214.0,운전금지,트라마돌,마약성진통제
도란찐주50밀리그람(트라마돌염산염),삼성제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,198700215.0,운전금지,트라마돌,마약성진통제
도미덴주1밀리그램(레미펜타닐염산염),명문제약(주),1밀리리터,전문의약품,마약,N01AH06,201602478.0,운전금지,마약,마약
도미덴주2밀리그램(레미펜타닐염산염),명문제약(주),1밀리리터,전문의약품,마약,N01AH06,201602479.0,운전금지,마약,마약
도미덴주5밀리그램(레미펜타닐염산염),명문제약(주),1밀리리터,전문의약품,마약,N01AH06,201602477.0,운전금지,마약,마약
도미졸정10밀리그람(주석산졸피뎀),(주)한독휴먼헬스,10밀리그램,전문의약품,향정신성의약품,N05CF02,200703883.0,운전금지,향정신성의약품,향정신성의약품
도미컴정7.5밀리그람(미다졸람),(주)한국로슈,7.5밀리그램,전문의약품,향정신성의약품,N05CD08,200610882.0,운전금지,향정신성의약품,향정신성의약품
도미컴주15밀리그람/3밀리리터(미다졸람),(주)한국로슈,15밀리그램,전문의약품,향정신성의약품,N05CD08,199806865.0,운전금지,향정신성의약품,향정신성의약품
도미컴주50밀리그람(미다졸람),(주)한국로슈,10밀리리터,전문의약품,향정신성의약품,,199203469.0,운전금지,향정신성의약품,향정신성의약품
도미컴주5밀리그람/5밀리리터(미다졸람),(주)한국로슈,5밀리그램,전문의약품,향정신성의약품,N05CD08,199806866.0,운전금지,향정신성의약품,향정신성의약품
돌마주사(염산트라마돌),세종제약(주),1밀리리터,전문의약품,해당사항없음,N02AX02,199702548.0,운전금지,트라마돌,마약성진통제
돌마주사(트라마돌염산염),미래바이오제약(주),1밀리리터,전문의약품,해당사항없음,N02AX02,199702548.0,운전금지,트라마돌,마약성진통제
돌트람오랄솔루블정(염산트라마돌),광동제약(주),50밀리그램,전문의약품,해당사항없음,N02AX02,200611308.0,운전금지,트라마돌,마약성진통제
동광염산날부핀주10밀리그람,동광제약(주),10밀리그램,전문의약품,향정신성의약품,,200109945.0,운전금지,향정신성의약품,향정신성의약품
